"","segment_id","month","weekday","hour","max_speed","coordinates","X","Y","street","place","province","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore","expectedfinescaled"
"53",26408,1,"Friday",18,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.185,66.5,9,57,228,21,62.5,100.5,43,3,0,0,0,0,0,9.095,0.0871479548768322,0
"54",26408,1,"Monday",9,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.113333333333333,24,10.6666666666667,125,345,7.33333333333333,84,153,79.6666666666667,23,0,0,0,0,0,16.7233333333333,0.160322819942189,0
"55",26408,1,"Monday",10,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7575,29,7.5,46,177,9.25,35,84.75,42.75,5.75,1.5,0,1.25,221.8,0.1275,7.035,0.0686104289770547,0.00141833389464171
"56",26408,1,"Monday",11,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7925,38,5.25,34.75,150.25,5.5,28,60.75,45.5,9,2,0.5,2.25,416.4,0.2375,5.62,0.0560922032077354,0.00266273324494503
"57",26408,1,"Monday",12,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.785,36.5,3.25,39.25,172.75,6.75,25.5,78,47,14.25,2.5,0.5,1.75,351,0.1975,6.18,0.061080308495127,0.00224452298024905
"58",26408,1,"Monday",13,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7575,29.25,6.75,72.25,175.5,12.25,22.25,76.5,53.25,11,1.25,0.5,1.75,324.5,0.185,9.61,0.0938627119944748,0.00207506469256643
"59",26408,1,"Monday",14,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.78,43.5,8,55,178.5,11,28.25,79.75,49,10,2.75,1,0.75,236.3,0.125,8.12,0.0789943212339805,0.00151105635393975
"60",26408,1,"Monday",15,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7925,46,4.75,33.5,171,17.5,31,75,39.75,6.5,1,0.5,3.25,547.2,0.3175,5.7575,0.0581785741692886,0.00349915377433698
"61",26408,1,"Monday",16,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7925,44.75,8.5,49.5,215.25,16.25,37.25,95.75,54,10.25,2.75,1,2,426.3,0.2375,7.975,0.0786825646535186,0.00272604030336231
"62",26408,1,"Monday",17,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.6225,51.25,6.25,73,243.75,28.25,37.5,109.5,59.5,9.75,0.5,0.5,1.75,308.6,0.1775,10.5625,0.102927634103292,0.00197338971995686
